"filename", "language", "PHP", "JSON with Comments", "XML", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "Ignore", "JavaScript", "YAML", "comment", "blank", "total"
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 11, 115
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 7, 72
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\user-info.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\user-menu-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 5, 78
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-appearance.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 4, 23, 85
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-clipboard.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 10, 33
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-initials.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-mobile-navigation.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-two-factor-auth.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 16, 105
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\app-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\app\app-header-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\app\app-sidebar-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\auth-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\auth\auth-card-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 49
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\auth\auth-simple-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
